ID,Name,Description,Icon,Class,Shape,Weight,Price,Item Type,Area Type,FishDayType,Size,Health,Power,Speed,Cool Time,SpellTime,GroggyTime,DefenseCount,TurnDelay,Buff Duration,Buff Value,메모,,
fs_1011,chromis,fs_1011_01,fs_1011_chromis,Common,-,0.8,80,Fish,Shallow,Day,8;20,110,0.4,0.1,3,3,1,2,1;1,550,0.12,자리돔,,
fs_1012,pinkshrimp,fs_1012_01,fs_1012_pinkshrimp,Common,-,0.3,80,Fish,Shallow,Day,2.5;12,80,0.15,0.1,2,4,2,2,1;1,400,0.045,단새우,,
fs_1013,grubfish,fs_1013_01,fs_1013_grubfish,Common,1;0,1.5,120,Fish,Shallow,Day,5.3;20,130,0.75,0.05,3,3,3,1,1;1,650,0.225,쌍동가리,,
fs_1014,marbledrockfish,fs_1014_01,fs_1014_marbledrockfish,Common,1;0,2.5,130,Fish,Shallow,Night,12;30,150,1.25,0.05,2,2,2,1,1;1,750,0.375,쏨뱅이,,
fs_1015,seagoldie,fs_1015_01,fs_1015_seagoldie,Common,-,0.3,100,Fish,Shallow,Day,3;15,240,0.7,1.5,5,4,3,3,1;1,1200,0.21,금강바리,,
fs_1016,halfbeak,fs_1016_01,fs_1016_halfbeak,Common,1;0,2,110,Fish,Shallow,Day,10;50,130,0.6,2,4,2,2,2,1;1,650,0.18,학꽁치,,
fs_1101,bluestripedfangblenny,fs_1101_01,fs_1101_bluestripedfangblenny,Uncommon,1;0,2,220,Fish,Shallow,Night,6.5;15,110,1,0.18,3,3,5,4,1;1,550,0.3,청줄베도라치,,
fs_1102,lionfish,fs_1102_01,fs_1102_lionfish,Uncommon,0;-1/1;-1/1;0,4.5,250,Fish,Shallow,Day,20;40,200,2.25,0.04,1,3,2,3,1;1,1000,0.675,쏠배감펭,,
fs_1103,pipefish,fs_1103_01,fs_1103_pipefish,Uncommon,1;-1/1;0,3.8,230,Fish,Shallow,Day,25;50,150,1.9,0.05,1,3,1,1,1;1,750,0.57,실고기,,
fs_1104,yellowtaildamselfish,fs_1104_01,fs_1104_yellowtaildamselfish,Uncommon,-,1.5,200,Fish,Shallow,Night,4;13,150,0.75,0.1,3,5,3,2,1;1,750,0.225,노랑꼬리 자리돔,,
fs_1105,yellowboxfish,fs_1105_01,fs_1105_yellowboxfish,Uncommon,-,1.2,200,Fish,Shallow,Day,3.5;25,180,0.6,0.2,3,5,2,2,1;1,900,0.18,노랑거북복,,
fs_1106,bluestripedangelfish,fs_1106_01,fs_1106_bluestripedangelfish,Uncommon,-,1,120,Fish,Shallow,Day,8;30,250,1.7,0.9,2,4,2,3,1;1,1250,0.51,청줄돔,,
fs_1201,rockbream,fs_1201_01,fs_1201_rockbream,Rare,-1;0/1;0/-1;1/0;1/1;1,5,400,Fish,Shallow,Night,30;80,300,2.5,0.6,5,3,4,3,1;1,1500,0.75,돌돔,,
fs_1202,parrotfish,fs_1202_01,fs_1202_parrotfish,Rare,-1;0/1;0/-1;1/0;1/1;1,7,450,Fish,Shallow,Day,45.5;100,500,3.5,0.13,1,5,1,3,1;1,2500,1.05,앵무고기,,
fs_1301,unicornfish,fs_1301_01,fs_1301_unicornfish,Epic,-1;0/1;0/0;1/1;1,5,600,Fish,Shallow,Day,15;100,800,2.5,1,3,3,3,6,1;1,4000,0.75,유니콘피쉬,,
fs_2001,seabass,fs_2001_01,fs_2001_seabass,Common,1;0,0.6,120,Fish,Coastal,Day,20;80,100,0.3,1,2,3,1,4,0.3;1.5,500,0.09,농어,,
fs_2002,flounder,fs_2002_01,fs_2002_flounder,Common,1;0/0;1/1;1,0.4,250,Fish,Coastal,Night,12;50,300,0.2,0.4,3,3,1,2,0.7;1,1500,0.06,가자미,,
fs_2003,mullet,fs_2003_01,fs_2003_mullet,Common,-1;0/1;0,0.8,250,Fish,Coastal,Day,25;45,350,0.4,0.9,1,3,5,3,1;2,1750,0.12,숭어,,
fs_2004,bluetang,fs_2004_01,fs_2004_bluetang,Common,-,0.6,150,Fish,Coastal,Day,12.5;30,200,0.3,0.2,4,5,4,4,0.7;1,1000,0.09,블루탱,,
fs_2005,clownfish,fs_2005_01,fs_2005_clownfish,Common,-,0.6,120,Fish,Coastal,Day,8;15,100,0.3,0.1,1,3,1,3,0.3;1.5,500,0.09,흰동가리,,
fs_2006,bluespottedstingray,fs_2006_01,fs_2006_bluespottedstingray,Common,0;-1/1;-1/1;0,5,200,Fish,Coastal,Night,20;60,100,2.5,0.7,4,5,6,4,0.3;1.5,500,0.75,꽁지가오리,,
fs_2007,spanishmackerel,fs_2007_01,fs_2007_spanishmackerel,Common,-1;0/1;0/1;1,3,200,Fish,Coastal,Day,30;100,350,1.5,1.5,2,4,5,2,1;1,1750,0.45,삼치,,
fs_2008,redseabream,fs_2008_01,fs_2008_redseabream,Common,-1;0/-1;1/0;1/1;1/1;0,4,250,Fish,Coastal,Night,35.5;110,450,2,0.7,3,3,1,3,1;1,2250,0.6,참돔,,
fs_2009,chickengrunt,fs_2009_01,fs_2009_chickengrunt,Common,1;0,1,100,Fish,Coastal,Day,15;40,120,0.5,0.8,2,3,1,4,1;1,600,0.15,벤자리,,
fs_2010,sardine,fs_2010_01,fs_2010_sardine,Common,-,0.3,100,Fish,Coastal,Day,15;30,130,0.15,1.2,0,0,0,0,1;1,650,0.045,정어리,,
fs_2011,rockfish,fs_2011_01,fs_2011_rockfish,Common,1;0,1,150,Fish,Coastal,Day,25;70,300,0.5,0.6,1,3,1,4,1;1,1500,0.15,우럭,,
fs_2012,cuttlefish,fs_2012_01,fs_2012_cuttlefish,Common,0;-1,0.8,150,Fish,Coastal,Night,15;45,200,0.4,0.7,1,3,1,4,1;1,1000,0.12,갑오징어,,
fs_2013,stripedeelcatfish,fs_2013_01,fs_2013_stripedeelcatfish,Common,1;0,0.4,120,Fish,Coastal,Night,9.5;30,100,0.2,0.06,1,3,1,4,1;1,500,0.06,쏠종개,,
fs_2014,flatfish,fs_2014_01,fs_2014_flatfish,Common,-1;0/-1;1/0;1/1;1/1;0,3,170,Fish,Coastal,Night,30;90,300,1.5,0.5,1,3,1,4,1;1,1500,0.45,광어,,
fs_2015,obtusebarracuda,fs_2015_01,fs_2015_obtusebarracuda,Common,1;0,0.8,120,Fish,Coastal,Night,20;50,230,0.4,1.6,1,3,1,4,1;1,1150,0.12,꼬치고기,,
fs_2016,salmon,fs_2016_01,fs_2016_salmon,Common,1;-1/1;0,1,150,Fish,Coastal,Day,50;100,350,0.5,1,1,3,1,4,1;1,1750,0.15,연어,,
fs_2017,spearsquid,fs_2017_01,fs_2017_spearsquid,Common,0;-1,0.7,120,Fish,Coastal,Night,15;35,160,0.8,1.5,3,3,1,4,1;1,800,0.24,화살오징어,,
fs_2101,octopus,fs_2101_01,fs_2101_octopus,Uncommon,1;0/0;-1,3,350,Fish,Coastal,Day,150;250,500,0.8,1.5,12,4,1,4,1;2,2500,0.24,문어,,
fs_2102,giantmoray,fs_2102_01,fs_2102_giantmoray,Uncommon,-1;0/1;0/0;1/1;1,5,400,Fish,Coastal,Night,90;100,500,1.5,0.4,1,3,3,4,0.3;1.5,2500,0.45,대왕곰치,,
fs_2103,seahorse,fs_2103_01,fs_2103_seahorse,Uncommon,-,0.5,250,Fish,Coastal,Night,1.3;12,80,2.5,0.5,0,0,0,0,1;1,400,0.75,해마,,
fs_2104,pufferfish,fs_2104_01,fs_2104_pufferfish,Uncommon,1;0/0;1/1;1,1.5,300,Fish,Coastal,Day,0.5;20,120,0.25,0.1,3,3,1,4,1;1,600,0.075,복어,,
fs_2105,seahare,fs_2105_01,fs_2105_seahare,Uncommon,1;0,1,280,Fish,Coastal,Day,1;30,150,0.75,0.2,0,0,0,0,1;1,750,0.225,군소,,
fs_2106,crab,fs_2106_01,fs_2106_crab,Uncommon,1;0,1.2,250,Fish,Coastal,Night,15;25,120,0.5,0.01,2,3,2,2,1;1,600,0.15,게,,
fs_2107,seacucumber,fs_2107_01,fs_2107_seacucumber,Uncommon,-,1,270,Fish,Coastal,Night,10;30,110,0.6,0.1,0,0,0,0,1;1,550,0.18,해삼,,
fs_2108,starrysmoothhound,fs_2108_01,fs_2108_starrysmoothhound,Uncommon,-1;0/1;0/1;1,5,300,Fish,Coastal,Day,60;220,270,0.5,0.01,1,5,3,4,1;1,1350,0.15,별상어,,
fs_2201,trigerfish,fs_2201_01,fs_2201_trigerfish,Rare,1;0,2,400,Fish,Coastal,Night,25;50,200,0.5,0.01,3,7,5,6,1;1,1000,0.15,쥐치복,,
fs_2202,redspottedgrouper,fs_2202_01,fs_2202_redspottedgrouper,Rare,-1;0/1;0,3.5,500,Fish,Coastal,Night,30;60,370,1.3,1.8,2,5,3,5,1;1,1850,0.39,붉바리,,
fs_2203,napoleonwrasse,fs_2203_01,fs_2203_napoleonwrasse,Rare,-1;0/-1;1/0;1/1;1/1;0,20,650,Fish,Coastal,Day,90;230,650,1,0.3,1,4,1,4,1;1,3250,0.3,큰양놀래기,,
fs_2301,redtoothedtriggerfish,fs_2301_01,fs_2301_redtoothedtriggerfish,Epic,-1;0/-1;1/0;1/1;1/1;0,12,850,Fish,Coastal,Day,30;100,600,1.75,0.7,5,4,6,6,1;1,3000,0.525,붉은이빨쥐치,,
fs_2401,bluewingeel,fs_2401_01,fs_2401_bluewingeel,Legendary,-1;-1/0;-1/1;-1/-1;0/1;0/-1;1/0;1/1;1,20,940,Fish,Coastal,Day,100;250,750,10,0.1,3,4,2,8,1;1,3750,3,파란날개 장어,,
fs_3001,northernwhiting,fs_3001_01,fs_3001_northernwhiting,Common,-,1,130,Fish,Oceanic,Day,12;30,100,6,0.3,0,0,0,0,1;1,500,1.8,보리멸,,
fs_3002,butterfish,fs_3002_01,fs_3002_butterfish,Common,-,1.2,160,Fish,Oceanic,Night,15;30,110,10,3,1,5,3,1,1;1,550,3,병어,,
fs_3003,bonitofish,fs_3003_01,fs_3003_bonitofish,Common,-1;0/1;0,5,380,Fish,Oceanic,Day,90;150,360,0.5,0.6,3,4,3,2,1;1,1800,0.15,줄삼치,,
fs_3004,bluecrab,fs_3004_01,fs_3004_bluecrab,Common,1;0,2,210,Fish,Oceanic,Day,7;20,120,0.6,0.5,1,3,1,2,1;1,600,0.18,블루크랩,,
fs_3005,moonjellyfish,fs_3005_01,fs_3005_moonjellyfish,Common,-,1,220,Fish,Oceanic,Night,10;50,150,2.5,1.6,5,3,4,1,1;1,750,0.75,보름달해파리,,
fs_3006,flyingfish,fs_3006_01,fs_3006_flyingfish,Common,1;0,2.2,250,Fish,Oceanic,Day,25.5;50,150,1,0.3,2,2,3,2,1;1,750,0.3,날치,,
fs_3007,pacificcod,fs_3007_01,fs_3007_pacificcod,Common,-1;0/1;0,6,350,Fish,Oceanic,Night,90;180,300,0.5,0.03,3,3,3,2,1;1,1500,0.15,대구,,
fs_3101,coraltrout,fs_3101_01,fs_3101_coraltrout,Uncommon,-1;0/1;0,6.5,430,Fish,Oceanic,Day,55;120,360,1.1,1.9,1,3,4,3,1;1,1800,0.33,무늬바리,,
fs_3102,snowcrab,fs_3102_01,fs_3102_snowcrab,Uncommon,-1;-1/0;-1/1;-1/-1;0/1;0,5.5,380,Fish,Oceanic,Night,70;110,280,3,0.05,2,2,1,2,1;1,1400,0.9,대게,,
fs_3103,barramundi,fs_3103_01,fs_3103_barramundi,Uncommon,-1;0/1;0,5,450,Fish,Oceanic,Day,100;200,400,3.25,0.4,6,3,4,3,1;1,2000,0.975,큰입선농어,,
fs_3104,wahoo,fs_3104_01,fs_3104_wahoo,Uncommon,-1;0/1;0/2;0,7,500,Fish,Oceanic,Night,130;240,550,2.75,0.1,3,3,4,3,1;1,2750,0.825,꼬치삼치,,
fs_3105,sawfish,fs_3105_01,fs_3105_sawfish,Uncommon,0;-1/1;-1/1;0/-1;1/0;1/1;-1,6.5,450,Fish,Oceanic,Night,250;700,700,2.5,1.1,2,4,4,4,1;1,3500,0.75,톱가오리,,
fs_3106,longsnoutboarfish,fs_3106_01,fs_3106_longsnoutboarfish,Uncommon,1;0/0;1/1;1,4,580,Fish,Oceanic,Day,45;75,670,3.5,1.8,4,3,1,3,1;1,3350,1.05,긴주둥이보어피쉬,,
fs_3107,blacktigershrimp,fs_3107_01,fs_3107_blacktigershrimp,Uncommon,-1;0/0;1,3,550,Fish,Oceanic,Night,20;45,250,3.25,0.5,3,9,6,5,1;1,1250,0.975,블랙타이거새우,,
fs_3108,longtoothgrouper,fs_3108_01,fs_3108_longtoothgrouper,Uncommon,0;-1/1;-1/-1;0/1;0/2;0,6,580,Fish,Oceanic,Night,95;150,750,2,0.3,5,2,1,2,1;1,3750,0.6,다금바리,,
fs_3109,amberjack,fs_3109_01,fs_3109_amberjack,Uncommon,-1;0/1;0/-1;1/0;1/1;1,1.5,500,Fish,Oceanic,Day,50;150,600,1.5,0.2,6,3,3,4,1;2,3000,0.45,방어,,
fs_3201,oceansunfish,fs_3201_01,fs_3201_oceansunfish,Rare,-1;0/1;0/-1;1/0;1/1;1/0;2/0;-1,10,550,Fish,Oceanic,Day,200;400,750,3,0.6,14,7,1,8,1.5;1,3750,0.9,개복치,,
fs_3202,cutlassfish,fs_3202_01,fs_3202_cutlassfish,Rare,1;0/-1;-1/0;-1/1;-1,3,650,Fish,Oceanic,Night,150;250,700,0.75,1.3,5,3,3,3,1.5;1,3500,0.225,갈치,,
fs_3203,bluefintuna,fs_3203_01,fs_3203_bluefintuna,Rare,-1;0/1;0/2;0/-1;1/0;1/1;1/2;1,15,800,Fish,Oceanic,Day,60;500,850,5,0.2,3,5,3,7,1;1,4250,1.5,참치,,
fs_3204,sailfish,fs_3204_01,fs_3204_sailfish,Rare,0;-1/1;-1/-1;0/1;0/2;0,8,750,Fish,Oceanic,Day,180;400,730,1.5,0.9,2,4,2,6,1;1,3650,0.45,돛새치,,
fs_3205,gianttrevally,fs_3205_01,fs_3205_gianttrevally,Rare,-1;0/1;0/-1;1/0;1/1;1,5,650,Fish,Oceanic,Night,100;180,780,7.5,2.2,1,2,1,3,1;1,3900,2.25,무명갈전갱이,,
fs_3301,swordfish,fs_3301_01,fs_3301_swordfish,Epic,-2;0/-1;0/1;0/2;0/0;-1/1;-1/2;-1,6.5,850,Fish,Oceanic,Day,250;500,670,4,3.5,3,3,2,6,1.5;1,3350,1.2,황새치,,
fs_3302,mantaray,fs_3302_01,fs_3302_mantaray,Epic,-1;-1/-1;0/1;0/-1;1/0;1/1;1,10.5,880,Fish,Oceanic,Night,450;800,950,2.5,0.8,2,4,5,7,1;1,4750,0.75,대왕쥐가오리,,
fs_3401,goldhermitcrab,fs_3401_01,fs_3401_goldhermitcrab,Legendary,-,1,1060,Fish,Oceanic,Night,10;20,320,3.25,3.1,5,1,4,4,1;1,1600,0.975,황금뿔소라게,,
fs_4101,pollack,fs_4101_01,fs_4101_pollack,Uncommon,1;0,1.2,280,Fish,Abyssal,Day,30;90,320,5.25,1.2,2,3,4,3,1;1,1600,1.575,명태,,
fs_4102,johndory,fs_4102_01,fs_4102_johndory,Uncommon,1;0/0;1/1;1,2.2,320,Fish,Abyssal,Day,50;80,280,0.5,0.1,4,3,5,4,1;1,1400,0.15,달고기,,
fs_4103,pelicaneel,fs_4103_01,fs_4103_pelicaneel,Uncommon,1;0/2;0/0;1/1;1,3,450,Fish,Abyssal,Night,50;100,450,0.6,0.3,3,4,3,5,1;1,2250,0.18,펠리칸장어,,
fs_4104,alfonsino,fs_4104_01,fs_4104_alfonsino,Uncommon,1;0,2,470,Fish,Abyssal,Day,90;100,100,1.1,0.7,1,3,1,4,0.3;1.5,500,0.33,금눈돔,,
fs_4105,hagfish,fs_4105_01,fs_4105_hagfish,Uncommon,-,0.5,420,Fish,Abyssal,Day,35;65,210,1.5,0.03,5,4,2,5,1;1,1050,0.45,먹장어,,
fs_4106,opahfish,fs_4106_01,fs_4106_opahfish,Uncommon,-1;-1/0;-1/1;-1/-1;0/1;0/-1;1/0;1/1;1,5,520,Fish,Abyssal,Day,120;220,550,1,0.6,1,3,1,4,1;1,2750,0.3,붉평치,,
fs_4201,footballfish,fs_4201_01,fs_4201_footballfish,Rare,0;-1/-1;0/1;0,6.5,560,Fish,Abyssal,Night,4;70,650,0.25,0.1,8,5,3,6,1;1,3250,0.075,초롱아귀,,
fs_4202,ghostshark,fs_4202_01,fs_4202_ghostshark,Rare,0;-1/-1;0/1;0/2;0,7.2,670,Fish,Abyssal,Night,40;80,800,2.5,0.3,3,4,2,6,1;1,4000,0.75,유령상어,,
fs_4203,fangtooth,fs_4203_01,fs_4203_fangtooth,Rare,-,0.7,440,Fish,Abyssal,Night,12;20,180,3.25,0.05,1,4,1,5,1;1,900,0.975,귀신고기,,
fs_4204,oarfish,fs_4204_01,fs_4204_oarfish,Rare,-1;-1/0;-1/-1;0/1;0/1;1/2;1,10.7,720,Fish,Abyssal,Day,600;1700,1000,3.6,0.15,3,5,5,8,1;1,5000,1.08,산갈치,,
fs_4205,predatorytunicate,fs_4205_01,fs_4205_predatorytunicate,Rare,0;-1,0.3,500,Fish,Abyssal,Night,0.3;9.5,150,0.35,0.03,2,2,1,3,1;1,750,0.105,큰입멍게,,
fs_4301,giantsquid,fs_4301_01,fs_4301_giantsquid,Epic,-1;0/1;0/-1;-1/0;-1/1;-1/-1;1/0;1/1;1/0;2/0;-2,5,800,Fish,Abyssal,Day,500;2000,1000,5.35,0.07,18,3,1,7,0.3;0.9,5000,1.605,대왕오징어,,
fs_4302,goblinshark,fs_4302_01,fs_4302_goblinshark,Epic,-1;0/1;0/2;0,8.1,850,Fish,Abyssal,Night,180;720,1200,0.15,0.01,1,3,1,7,1;1,6000,0.045,마귀상어,,
fs_4303,flapjackoctopus,fs_4303_01,fs_4303_flapjackoctopus,Epic,-,1.2,880,Fish,Abyssal,Day,8;20,150,2.5,0.2,1,3,1,8,1;1,750,0.75,우무문어,,
fs_4304,longnoselancetfish,fs_4304_01,fs_4304_longnoselancetfish,Epic,-1;-1/0;-1/-1;0/1;0/-1;1/0;1/1;1/2;1,5.4,890,Fish,Abyssal,Night,100;250,650,4.05,0.3,1,3,1,6,1;1,3250,1.215,돛란도어,,
fs_4305,jellynosefish,fs_4305_01,fs_4305_jellynosefish,Epic,0;-1/-1;0/1;0/2;0,2.4,760,Fish,Abyssal,Night,35;120,550,0.6,0.1,1,3,1,5,1;1,2750,0.18,꼬리치,,
fs_4306,blobfish,fs_4306_01,fs_4306_blobfish,Epic,0;-1/1;-1/1;0,2.2,780,Fish,Abyssal,Day,25;50,200,2.7,0.3,1,1,1,2,1;1,1000,0.81,블롭피시,,
fs_4401,abyssalsnake,fs_4401_01,fs_4401_abyssalsnake,Legendary,0;-1/1;-1/1;0,3.2,1120,Fish,Abyssal,Night,60;120,650,1.2,1.4,1,3,1,4,1;1,3250,0.36,심해뱀,,
fs_4402,drillfish,fs_4402_01,fs_4402_drillfish,Legendary,-2;0/-1;0/1;0/2;0,7.6,1190,Fish,Abyssal,Night,120;230,1150,1.1,0.01,4,3,3,7,1;1,5750,0.33,드릴피쉬,,
fs_4403,coraliumqueen,fs_4403_01,fs_4403_coraliumqueen,Legendary,-1;-1/0;-1/-1;0/1;0/-1;1/0;1/1;1,6.5,1230,Fish,Abyssal,Day,80;180,1210,1.6,0.6,1,2,1,4,1;1,6050,0.48,말미잘 여왕,,
fs_4404,submarinegrouper,fs_4404_01,fs_4404_submarinegrouper,Legendary,-1;-1/0;-1/1;-1/2;-1/-1;0/1;0/2;0,11.5,1250,Fish,Abyssal,Night,180;300,1550,3.8,1.1,5,4,5,9,1;1,7750,1.14,잠수함 그루퍼,,
